@relation train_data2

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {up,left,down,right,tilt_left,tilt_right}

@data
8,4,-13,-3,-8,-8,-12,0,-8,-3,1,-9,-11,4,-9,-4,-9,-9,-15,4,-12,-4,-10,-8,-19,4,-6,-5,-5,-7,-16,5,-9,-6,-7,-7,-21,10,-3,-6,-8,-5,-11,7,-8,-7,-3,-4,-15,6,1,-8,-2,-2,-2,5,-5,-8,-6,-1,1,-2,-3,-9,0,-1,16,-11,-6,-8,-1,-1,11,-10,2,-6,0,-1,25,-10,-1,-5,-2,-4,20,-11,3,-4,-3,-5,11,-6,8,-2,-8,-5,4,-2,5,-3,-10,-7,-2,-2,4,-4,-11,-8,-6,-2,2,-4,-10,-8,-5,-2,-2,-3,-9,-7,up
46,-4,-36,-12,-30,-10,2,-2,0,-7,0,-5,8,11,-4,-9,-12,-4,-2,2,-2,-8,-6,-2,0,6,0,-8,-6,-2,-9,4,0,-7,-1,1,-5,3,-6,-8,-9,1,-1,-4,-8,-8,-3,1,5,-6,1,-8,-4,0,15,-11,-5,-7,-3,-3,5,-10,1,-1,-6,-9,12,-7,-1,-2,-8,-11,-1,-7,3,-2,-4,-13,-10,17,0,0,-10,-12,-9,1,-9,-3,-8,-11,-14,9,-1,-8,-5,-3,-11,7,0,-8,0,-1,-7,4,-1,-8,-5,1,-1,-12,-6,-9,-1,1,-9,2,4,-8,-7,3,up
44,-24,-5,-6,6,-7,38,-15,3,-4,3,-10,31,-14,4,-3,1,-10,24,-12,4,-3,-1,-10,18,-11,4,-3,-3,-10,8,-7,5,-2,-6,-9,-1,-5,3,-3,-8,-8,-6,-4,2,-3,-9,-7,-6,-3,-2,-3,-7,-7,-9,-1,-1,-3,-6,-7,-4,-1,-7,-4,-6,-8,-11,0,-4,-4,-5,-8,-9,3,-7,-4,-8,-8,-14,3,-9,-5,-7,-8,-13,7,-4,-6,-7,-7,-13,6,-5,-7,-6,-5,-6,6,-2,-6,-4,-4,0,5,-2,-7,0,-3,4,6,4,-6,-2,-3,8,2,-4,-6,-4,-4,up
6,11,-4,-2,-20,-9,0,-1,-6,-6,-7,-4,-10,1,2,-7,-8,-3,-8,0,0,-8,-6,-2,-6,-3,-2,-7,-5,-1,-8,-4,-6,-8,1,1,-4,-1,-11,-6,0,-1,19,2,-15,-3,4,-1,30,4,-13,-1,0,-3,28,3,-8,-1,-3,-5,27,-4,5,-2,-8,-6,24,-6,12,-4,-9,-7,8,-11,13,-7,-12,-8,-3,-10,9,-9,-10,-7,0,-7,9,-8,-8,-8,2,2,-4,-7,-8,-8,-3,1,-4,-5,-7,-7,-10,0,-4,-4,-7,-8,-12,-7,-4,-3,-7,-9,-22,-3,-3,-3,-6,-8,up
6,-1,-29,-6,-24,-9,-23,7,-8,-8,0,-8,-2,12,-6,-7,-14,-6,-14,2,-11,-8,-4,-6,-11,6,-5,-8,-7,-3,-13,4,-8,-10,-2,0,-3,2,-8,-10,-8,2,-4,-2,-14,-9,3,0,5,1,-6,-6,2,1,19,-4,-10,-4,4,-2,19,1,7,0,2,-5,25,-1,-2,1,1,-8,19,-5,20,1,-5,-6,21,-3,0,-1,-12,-6,8,-6,10,-4,-12,-6,9,-10,0,-7,-11,-6,3,-12,9,-9,-10,-6,2,-3,-11,-11,-8,-6,0,0,2,-11,-7,-5,1,8,-5,-10,-6,-5,up
2,9,-4,-1,-16,-2,-15,-3,3,-1,-2,-7,-1,-5,0,-1,-8,-9,-23,2,6,-1,-10,-9,-27,2,6,-2,-7,-9,-27,3,-2,-4,-7,-10,-21,0,2,-6,-7,-5,-27,-1,6,-7,-2,1,-9,-2,-8,-9,0,4,1,-5,-19,-9,1,4,13,-5,-9,-5,6,3,29,9,-16,-2,3,-1,31,9,-17,-2,-3,-6,33,-1,-2,-2,-5,-8,29,-1,14,-3,-8,-8,15,-5,10,-6,-10,-8,1,-12,12,-8,-12,-9,3,-7,5,-8,-8,-9,-6,0,0,-7,-8,-8,-10,-1,-8,-4,-9,-7,up
35,0,-37,-12,-19,-6,-7,-1,-9,-9,-3,-5,-6,2,-6,-9,-6,-3,-5,0,-8,-9,-5,-1,-4,-2,-15,-10,-6,1,-11,2,-3,-9,3,3,19,4,-16,-6,0,2,21,6,-8,-3,1,1,30,5,-9,-2,-1,-2,25,1,8,0,-3,-6,27,-9,5,0,-8,-8,4,-12,18,-2,-9,-9,3,-14,3,-6,-8,-9,-4,-15,6,-8,-8,-8,2,-8,7,-8,-7,-7,5,-1,-3,-8,-6,-7,3,7,-9,-10,-7,-5,-3,3,-1,-8,-7,-5,-5,3,2,-6,-7,-7,-9,-1,-8,-4,-6,-8,up
6,-5,-12,-8,-4,-6,4,-6,2,-8,-7,-6,3,-3,-3,-7,-7,-6,6,2,0,-7,-7,-6,4,4,-8,-8,-5,-6,2,8,-5,-8,-6,-5,-5,6,-6,-7,-3,-6,-1,8,-3,-7,-6,-6,-12,3,-1,-5,-10,-8,-17,2,7,-4,-11,-10,-32,-8,13,-4,-9,-11,-26,2,11,-4,-15,-8,-30,-9,24,-4,-1,-3,-22,-1,7,-4,3,2,0,0,-7,-3,-2,2,14,7,-21,-3,0,2,23,2,-23,-2,4,1,20,8,-31,-3,-6,-4,20,-4,-16,-5,-7,-6,7,-8,1,-6,-3,-5,up
41,6,-26,-25,2,-19,23,16,-17,-16,-5,-12,5,3,-10,-13,-4,-11,0,6,-5,-10,-12,-12,-10,6,-2,-8,-12,-13,-35,5,7,-4,-10,-10,-36,5,9,-3,-10,-10,-30,8,8,-2,-9,-9,-28,7,13,-4,-1,-4,-18,4,9,-5,2,2,-1,6,-6,-5,-4,6,-1,-1,-4,-7,3,6,13,-5,-8,-5,0,4,20,-11,-18,-4,-4,-1,18,-9,-21,-3,-2,-5,21,-11,-8,-2,0,-9,21,-12,-6,-2,-5,-10,11,-9,1,-2,-5,-8,-1,-7,5,-4,-4,-6,8,-7,6,-6,-7,-6,up
40,5,-21,-8,-12,-5,5,0,-7,-9,-12,-4,14,-5,2,-7,-10,-5,6,-1,-4,-7,-10,-6,1,1,-5,-6,-8,-6,-3,-1,-6,-6,-7,-5,-3,-1,-8,-4,-9,-8,-13,2,-14,-4,-9,-9,-17,0,-12,-5,-8,-11,-30,9,6,-4,-10,-11,-34,3,-3,-6,-12,-11,-28,-5,15,-7,1,-3,-25,1,10,-6,2,3,-19,6,2,-6,-1,6,8,-10,-21,-7,3,5,25,-3,-4,-3,3,3,23,9,-22,-3,-5,-3,27,-2,-11,-3,-6,-9,30,-5,0,-4,-5,-9,23,-6,11,-4,-8,-9,up
